"brand_name","product_id","image_url","in_stock","mrp","price","product_title","rating","rating_count","tags","product_url","listing_page_name","listing_url","listing_page_no"
"Herbal Essences","2659739","https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/e/4/e445df9HERAB00000002.jpg","True","1250","750","Herbal Essences Argan Oil Of Moroccan Shampoo & Conditioner With Free Neem Comb","4.4","1008","FEATURED, BESTSELLER","https://www.nykaa.com/herbal-essences-argan-oil-of-moroccan-shampoo-conditioner-with-free-neem-comb/p/2659739","Herbal Essences","https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594","1"
"Herbal Essences","1290145","https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/c/e/ce412e3NYKHES0000017-new1.jpg","True","1575","1181","Herbal Essences Aloe & Bamboo Shampoo + Conditioner For Soft Smooth Hair, No Sulphates & Paraben","4.4","1034","FEATURED","https://www.nykaa.com/herbal-essences-potent-aloe-bamboo-shampoo-and-conditioner-combo-sulphate-and-paraben-free/p/1290145","Herbal Essences","https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594","1"
"Herbal Essences","456559","https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/3/e/3e962e3NYKHES0000001-new1.jpg","True","1250","688","Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants","4.3","10879","FEATURED, BESTSELLER","https://www.nykaa.com/herbal-essences-argan-oil-shampoo-conditioner-for-frizz-no-parabens-no-colourants-slash-save-hp2021/p/456559","Herbal Essences","https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594","1"
"Herbal Essences","3753166","https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/6/e/6e5a792HERAB00000007.jpg","True","1575","945","Herbal Essences Aloe & Bamboo Shampoo + Conditioner Kit For Soft Hair, Sulphate & Paraben Free","4.3","65","FEATURED","https://www.nykaa.com/herbal-essences-soha-aloe-bamboo-shampoo-conditioner-kit-for-soft-hair-sulphate-paraben-free/p/3753166","Herbal Essences","https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594","1"
"Herbal Essences","5360837","https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/f/a/fa76e538001090222848(1).jpg","True","600","390","Herbal Essences Argan Oil Of Morocco Shampoo - For Frizz Free Hair - Paraben Free","4.3","8769","FEATURED, BESTSELLER","https://www.nykaa.com/herbal-essences-argan-oil-of-morocco-shampoo-for-frizz-free-hair-paraben-free/p/5360837","Herbal Essences","https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594","1"
"Herbal Essences","4719645","https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/1/6/168e2e3HERAB00000009-new1.jpg","True","730","533","Herbal Essences Strawberry Shampoo & Conditioner For Voluminous Hair - No Parabens, No Colourants","4.7","304","FEATURED, BESTSELLER","https://www.nykaa.com/herbal-essences-strawberry-shampoo-conditioner-for-voluminous-hair-no-parabens-no-colourants/p/4719645","Herbal Essences","https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594","1"
"Herbal Essences","4719644","https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/d/3/d3512e3HERAB00000008-new1.jpg","True","730","533","Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants","4.7","305","FEATURED, BESTSELLER","https://www.nykaa.com/herbal-essences-argan-oil-shampoo-conditioner-for-frizz-no-parabens-no-colourants/p/4719644","Herbal Essences","https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594","1"
"Herbal Essences","1044492","https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/f/9/f9ffe534902430930758(1).jpg","True","750","525","Herbal Essences Aloe & Bamboo Shampoo For Soft Smooth Hair, No-Sulphates, Paraben and Silicones","4.3","503","FEATURED","https://www.nykaa.com/herbal-essences-potent-aloe-bamboo-shampoo-sulphates-silicones-and-paraben-free-400ml/p/1044492","Herbal Essences","https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594","1"
"Herbal Essences","5360839","https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/1/0/1063e538001090222879(1).jpg","True","650","390","Herbal Essences Argan Oil Of Morocco Conditioner - For Frizz Free Hair - Paraben Free","4.4","5130","FEATURED, BESTSELLER","https://www.nykaa.com/herbal-essences-argan-oil-of-morocco-conditioner-for-frizz-free-hair-paraben-free/p/5360839","Herbal Essences","https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594","1"
"Herbal Essences","1044490","https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/8/7/8752e534902430930772(1).jpg","True","750","525","Herbal Essences Aloe & Eucalyptus Shampoo For Soft Smooth Hair, No- Sulphates, Paraben and Silicones","4.3","512","FEATURED","https://www.nykaa.com/herbal-essences-potent-aloe-eucalyptus-shampoo-sulphates-silicones-and-paraben-free-400ml/p/1044490","Herbal Essences","https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594","1"
"Herbal Essences","5360838","https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/e/f/ef6de538001090222541(1).jpg","True","600","390","Herbal Essences Strawberry & Mint Shampoo - For Cleansing & Volume - Paraben Free","4.1","2502","BESTSELLER","https://www.nykaa.com/herbal-essences-strawberry-mint-shampoo-for-cleansing-volume-paraben-free/p/5360838","Herbal Essences","https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594","1"
"Herbal Essences","452442","https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/f/1/f1d7e538001090222428(1).jpg","True","600","390","Herbal Essences Coconut Milk Shampoo For Hydration & Softness - No Parabens- No Colourants","4.2","2077","BESTSELLER","https://www.nykaa.com/herbal-essences-coconut-milk-shampoo-for-hydration-softness-no-parabens-no-colourants-400ml/p/452442","Herbal Essences","https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594","1"
"Herbal Essences","452443","https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/a/d/addbe538001090222961(1).jpg","True","600","390","Herbal Essences Cocoa Butter Shampoo For Hair Strengthening - No Parabens, No Colourants","4.3","1206","","https://www.nykaa.com/herbal-essences-cocoa-butter-shampoo-for-hair-strengthening-no-parabens-no-colourants-400ml/p/452443","Herbal Essences","https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594","1"
"Herbal Essences","5360840","https://images-static.nykaa.com/media/catalog/product/tr:h-200,w-200,cm-pad_resize/f/b/fb4d8744902430517331.jpg","True","380","277","Herbal Essences Strawberry & Mint Conditioner - For Cleansing & Volume - Paraben Free","4.3","1093","","https://www.nykaa.com/herbal-essences-strawberry-mint-conditioner-for-cleansing-volume-paraben-free/p/5360840","Herbal Essences","https://www.nykaa.com/brands/herbal-essences/c/594?ptype=lst&id=594","1"
